Composition,CL score,CL score std
Ba1 Zr1 S3,0.9906862771511078,0.0237061734091847
Ba1 U1 S3,0.9890472960472106,0.0160880637797782
Eu1 Sc1 S3,0.9877445757389068,0.0193608880433195
Ba1 Hf1 S3,0.987208333015442,0.0250115229571399
Dy1 Sc1 S3,0.9849861258268356,0.0167599133350004
Ce1 Sc1 S3,0.982454150915146,0.0309489273239496
Eu1 Zr1 S3,0.9813980281352996,0.0304792506439885
Gd1 Sc1 S3,0.980566133260727,0.0428428299826912
Sr1 Sn1 S3,0.9805107033252716,0.0359928948024583
La1 Sc1 S3,0.975183838903904,0.0818118169767307
Ba1 U1 Se3,0.9750630804896354,0.0986662293841817
Eu1 Hf1 S3,0.9734013321995736,0.0669823108549812
Gd1 Zr1 S3,0.9709475246071816,0.0911146696438761
Eu1 Tm1 S3,0.9588140392675996,0.1109846302480162
Tb1 Eu1 S3,0.9573265855014323,0.1061649113360427
Tb1 Sc1 S3,0.9562970530986786,0.0682207451375096
La1 Zr1 S3,0.9555832697451114,0.1142346075690872
La1 Tb1 S3,0.955130464285612,0.0998483015665406
Dy1 Zr1 S3,0.9499163256585598,0.1249323853920885
Eu1 Y1 S3,0.9444400623440744,0.1085045623385472
La1 Tb1 Se3,0.9337648177146912,0.1354336593497138
Eu1 Dy1 S3,0.9316943249106407,0.1179776140929395
Pr1 Sc1 S3,0.927211154922843,0.1795254760399109
Sr1 U1 S3,0.9261828264966608,0.1538688769533769
Ba1 Pr1 S3,0.9220239616930485,0.1660421502396092
Sm1 Zr1 S3,0.9154780068900435,0.1821461571871962
Sm1 Lu1 S3,0.9140395291894674,0.1838783351596024
Sc1 U1 S3,0.9114568481594324,0.1819017231986041
Ce1 Cd1 S3,0.9006391440797598,0.2082818252386565
Ba1 Ce1 S3,0.8943371605873108,0.2000501038716824
Sm1 Sc1 S3,0.8797870651632548,0.2301988481128343
Eu1 U1 S3,0.8795629642903805,0.2232418847838333
Yb1 Sm1 S3,0.8272403199179098,0.2607713508504719
Dy1 In1 S3,0.8164025779440999,0.2506589579549091
Sr1 U1 Se3,0.7867051771935075,0.2904925667026566
U1 In1 Se3,0.7803176392565365,0.2908045555035647
Eu1 U1 Se3,0.7768224882567302,0.2885382135751211
Sr1 Pr1 S3,0.759933307080064,0.3090005172627601
Yb1 Eu1 S3,0.7475818550214172,0.2759835541222445
U1 In1 S3,0.7412064943191945,0.3181479327413858
Al1 Sn1 Se3,0.7170838000529329,0.325961220740705
Ca1 Ce1 S3,0.702813514098525,0.3045890662690335
U1 Bi1 S3,0.6755477288592374,0.3605897713352912
Sr1 Ce1 S3,0.6647616340429522,0.3244372967122692
Pr1 U1 Se3,0.6447323515851167,0.3538757978830001
Yb1 Eu1 Se3,0.6065554604536737,0.3709869962444443
Ca1 U1 Se3,0.6005631021759473,0.3413253173637473
Hf1 Cu1 S3,0.585011949298787,0.3437957123541748
Hf1 Cu1 Se3,0.5704393663033261,0.3599098476116789
Tb1 Zn1 S3,0.560197080593789,0.3576784150985659
Sm1 U1 Se3,0.5309496714538545,0.3769379500068562
Zr1 Cu1 Se3,0.5180851290468127,0.3367617183339021
Ce1 U1 S3,0.4924737324510351,0.3669202112998522
Ce1 U1 Se3,0.2707180788126425,0.347458543124319
