material,HHI,SR,AR,Warning
TbZnS3,0.7593601154756247,0.427966176709568,0.9996954446854663,
SrUSe3,0.6434247975027304,0.3661644083419562,0.9997324295010847,"Warning: Not all elements found in HHI data for the compound SrUSe3, the elements found are: ['Se' 'Sr']"
UCeSe3,0.7939632424720449,0.44565922653818,0.9999518799710773,"Warning: Not all elements found in HHI data for the compound UCeSe3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y', 'Sc'])
 'Se']"
AlSnSe3,1.1872012265676826,0.6701932800931429,0.9404845625451915,
TbEuS3,1.075820153965853,0.6093322094844918,0.9997446131597975,
YbEuSe3,1.2814131260699257,0.7226424739058063,0.9999962039045553,
LuSmS3,1.075820153965853,0.6093322094844918,0.9997412509038323,
UPrSe3,0.7939632424720449,0.44565922653818,0.9999933116413593,"Warning: Not all elements found in HHI data for the compound UPrSe3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y', 'Sc'])
 'Se']"
BaUS3,0.29528785074421093,0.16785225173924911,0.9994396240057846,"Warning: Not all elements found in HHI data for the compound BaUS3, the elements found are: ['Ba' 'S']"
TbLaS3,1.075820153965853,0.6093322094844918,0.999717859725235,
BaPrS3,0.782737734342092,0.44483549910687536,0.9994329718004339,
EuScS3,1.586280889414111,0.899135507047661,0.9997295733911785,
BaUSe3,0.500880822848284,0.28116251616056354,0.9996926608821403,"Warning: Not all elements found in HHI data for the compound BaUSe3, the elements found are: ['Ba' 'Se']"
CaUSe3,1.5232041639561682,0.8591634805580104,0.9699927331887203,
CeScS3,1.586280889414111,0.899135507047661,0.9996829356471438,
GdScS3,1.586280889414111,0.899135507047661,0.9997265365148228,
SmZrS3,0.7779607814905077,0.4183793945751909,0.9996225234996384,
UInS3,0.5950999134771179,0.3317475378433574,0.9997467462039046,"Warning: Not all elements found in HHI data for the compound UInS3, the elements found are: ['In' 'S']"
UBiS3,0.7811921728377788,0.4412597634019618,0.9997469208242951,"Warning: Not all elements found in HHI data for the compound UBiS3, the elements found are: ['Bi' 'S']"
UScS3,1.0988310058162298,0.6221522596800346,0.9997310195227765,
SrPrS3,0.9252817089965384,0.529837391288268,0.9994727404193782,
CeCdS3,0.7919107249997773,0.4420233233626265,0.9996987346348517,
PrScS3,1.586280889414111,0.899135507047661,0.9997243673174259,
HfCuS3,0.3830907758624842,0.19322725120587236,0.999701373825018,
TbLaSe3,1.2814131260699257,0.7226424739058063,0.9999708966015907,
UEuSe3,0.7939632424720449,0.44565922653818,0.999998517715112,"Warning: Not all elements found in HHI data for the compound UEuSe3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y', 'Sc'])
 'Se']"
TmEuS3,1.075820153965853,0.6093322094844918,0.9997451048445408,
YbEuS3,1.075820153965853,0.6093322094844918,0.9997431670281997,
DyZrS3,0.7779607814905077,0.4183793945751909,0.9996238611713665,
UInSe3,0.8006928855811908,0.44505780226467184,0.9999997830802604,"Warning: Not all elements found in HHI data for the compound UInSe3, the elements found are: ['In' 'Se']"
DyEuS3,1.075820153965853,0.6093322094844918,0.9997417208966016,
LaZrS3,0.7779607814905077,0.4183793945751909,0.9995994215473608,
SmScS3,1.586280889414111,0.899135507047661,0.9997259219088938,
BaHfS3,0.4848783618667468,0.2538826841975744,0.9994374548083876,
HfCuSe3,0.5886837479665571,0.3065375156271868,0.9999544107013737,
UCeS3,0.5883702703679718,0.3323489621168656,0.9996988430947216,"Warning: Not all elements found in HHI data for the compound UCeS3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y', 'Sc'])
 'S']"
DyScS3,1.586280889414111,0.899135507047661,0.9997272595806218,
BaCeS3,0.782737734342092,0.44483549910687536,0.9993915401301519,
UEuS3,0.5883702703679718,0.3323489621168656,0.9997454808387563,"Warning: Not all elements found in HHI data for the compound UEuS3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y', 'Sc'])
 'S']"
EuZrS3,0.7779607814905077,0.4183793945751909,0.9996261749819233,
TbScS3,1.586280889414111,0.899135507047661,0.9997301518438179,
SrCeS3,0.9252817089965384,0.529837391288268,0.9994313087490961,
CaCeS3,1.8050610754499763,1.0228364635043223,0.9696916124367317,
EuHfS3,0.7779607814905077,0.4183793945751909,0.9997433116413593,
SrSnS3,0.5811631767394583,0.3363842698738597,0.9994723065798987,
LaScS3,1.586280889414111,0.899135507047661,0.999702819956616,
SrUS3,0.4378318253986574,0.25285414392064176,0.9994793926247288,"Warning: Not all elements found in HHI data for the compound SrUS3, the elements found are: ['Sr' 'S']"
ZrCuSe3,0.5886837479665571,0.3065375156271868,0.9998372740419378,
USmSe3,0.7939632424720449,0.44565922653818,0.9999948662328272,"Warning: Not all elements found in HHI data for the compound USmSe3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y', 'Sc'])
 'Se']"
BaZrS3,0.4848783618667468,0.2538826841975744,0.9993203181489515,
YbSmS3,1.075820153965853,0.6093322094844918,0.9997395155459147,
GdZrS3,0.7779607814905077,0.4183793945751909,0.9996231381055676,
EuYS3,1.075820153965853,0.6093322094844918,0.9997216196673898,
DyInS3,1.0825497970749989,0.6087307852109838,0.9997429862617498,
