,reduced_formulas,descriptive_formulas,bandgap,predicted_bandgap,predicted_bandgap_sigma
0,BaZrS3,BaZrS3,1.75,1.8125468492507935,0.030929123982787132
1,BaZrS3,BaZrS3,1.82,1.8125468492507935,0.030929123982787132
2,BaZrS3,BaZrS3,1.89,1.8125468492507935,0.030929123982787132
3,BaZrS3,BaZrS3,1.94,1.8125468492507935,0.030929123982787132
4,BaTiS3,BaTiS3,1.3,3.2007803916931152,6.719083786010742
5,LaYS3,LaYS3,2.3,2.004276752471924,0.06549856066703796
6,LaYS3,LaYS3,2.0,2.004276752471924,0.06549856066703796
7,LaScS3,LaScS3,2.9,2.8281490802764893,0.596563458442688
8,CaZrS3,CaZrS3,1.9,1.8910185098648071,0.021864725276827812
9,BaHfS3,BaHfS3,2.17,1.7994173765182495,0.2109813094139099
10,BaHfS3,BaHfS3,2.06,1.7994173765182495,0.2109813094139099
11,SrZrS3,SrZrS3,2.05,1.8260867595672607,0.03246024623513222
12,SrZrS3,SrZrS3,2.14,1.8260867595672607,0.03246024623513222
13,SrHfS3,SrHfS3,2.32,1.8458789587020874,0.16430726647377014
14,SrHfS3,SrHfS3,2.41,1.8458789587020874,0.16430726647377014
15,BaZr(S0.6Se0.4)3,BaZr(S0.6Se0.4)3,1.76,1.766039490699768,0.039066169410943985
16,Ba(Zr0.95Ti0.05)S3,Ba(Zr0.95Ti0.05)S3,1.63,1.6020479202270508,0.04080843925476074
17,Ba(Zr0.96Ti0.04)S3,Ba(Zr0.96Ti0.04)S3,1.51,1.5200321674346924,0.010561983101069927
